query,case,seed,run_idx,runtime_seconds,Join1-probe,Join1-build,Join1-build_rows,Join1-instantiated,Join1-state,Join1-total_probes,Join1-probes_at_freeze,Join1-freeze_reason,Join1-probes_at_abandon,Join1-abandon_reason,Join1-inserts,Join1-u1,Join2-probe,Join2-build,Join2-build_rows,Join2-instantiated,Join2-state,Join2-total_probes,Join2-probes_at_freeze,Join2-freeze_reason,Join2-probes_at_abandon,Join2-abandon_reason,Join2-inserts,Join2-u1,Join3-probe,Join3-build,Join3-build_rows,Join3-instantiated,Join3-state,Join3-total_probes,Join3-probes_at_freeze,Join3-freeze_reason,Join3-probes_at_abandon,Join3-abandon_reason,Join3-inserts,Join3-u1,Join4-probe,Join4-build,Join4-build_rows,Join4-instantiated,Join4-state,Join4-total_probes,Join4-probes_at_freeze,Join4-freeze_reason,Join4-probes_at_abandon,Join4-abandon_reason,Join4-inserts,Join4-u1,Join5-probe,Join5-build,Join5-build_rows,Join5-instantiated,Join5-state,Join5-total_probes,Join5-probes_at_freeze,Join5-freeze_reason,Join5-probes_at_abandon,Join5-abandon_reason,Join5-inserts,Join5-u1,Join6-probe,Join6-build,Join6-build_rows,Join6-instantiated,Join6-state,Join6-total_probes,Join6-probes_at_freeze,Join6-freeze_reason,Join6-probes_at_abandon,Join6-abandon_reason,Join6-inserts,Join6-u1,Join7-probe,Join7-build,Join7-build_rows,Join7-instantiated,Join7-state,Join7-total_probes,Join7-probes_at_freeze,Join7-freeze_reason,Join7-probes_at_abandon,Join7-abandon_reason,Join7-inserts,Join7-u1,Join8-probe,Join8-build,Join8-build_rows,Join8-instantiated,Join8-state,Join8-total_probes,Join8-probes_at_freeze,Join8-freeze_reason,Join8-probes_at_abandon,Join8-abandon_reason,Join8-inserts,Join8-u1,Join9-probe,Join9-build,Join9-build_rows,Join9-instantiated,Join9-state,Join9-total_probes,Join9-probes_at_freeze,Join9-freeze_reason,Join9-probes_at_abandon,Join9-abandon_reason,Join9-inserts,Join9-u1
Q08,1,1,1,46.20,,region,1,0,never_instantiated,0,,,,,0,0,,nation,25,0,never_instantiated,0,,,,,0,0,,nation,25,0,never_instantiated,0,,,,,0,0,,supplier,1000000,0,never_instantiated,0,,,,,0,0,,customer,14999999,0,never_instantiated,0,,,,,0,0,,orders,45574624,0,never_instantiated,0,,,,,0,0,lineitem,part,134258,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Q09,1,1,1,144.68,,nation,25,0,never_instantiated,0,,,,,0,0,,supplier,1000000,0,never_instantiated,0,,,,,0,0,,orders,150000000,0,never_instantiated,0,,,,,0,0,,partsupp,80000000,0,never_instantiated,0,,,,,0,0,lineitem,part,1087982,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10,1,1,1,50.70,,nation,25,0,never_instantiated,0,,,,,0,0,,customer,14999999,0,never_instantiated,0,,,,,0,0,lineitem,orders,5730378,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11,1,1,1,16.10,,nation,1,0,never_instantiated,0,,,,,0,0,supplier,partsupp,80000000,0,never_instantiated,0,,,,,0,0,,partsupp,80000000,0,never_instantiated,0,,,,,0,0,supplier,nation,1,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12,1,1,1,29.43,lineitem,orders,150000000,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13,1,1,1,58.78,customer,orders,148451295,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14,1,1,1,30.45,lineitem,part,20000000,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15,1,1,1,12.20,,,1,0,never_instantiated,0,,,,,0,0,supplier,,1000000,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16,1,1,1,15.01,,supplier,479,0,never_instantiated,0,,,,,0,0,,partsupp,80000000,0,never_instantiated,0,,,,,0,0,part,,8,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17,1,1,1,112.61,part,lineitem,600037902,0,never_instantiated,0,,,,,0,0,,,600982,0,never_instantiated,0,,,,,0,0,lineitem,,20031,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18,1,1,1,219.45,,lineitem,6398,0,never_instantiated,0,,,,,0,0,,customer,14999999,0,never_instantiated,0,,,,,0,0,orders,lineitem,600037902,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19,1,1,1,41.60,lineitem,part,20000000,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20,1,1,1,33.65,,,592007,0,never_instantiated,0,,,,,0,0,supplier,nation,1,0,never_instantiated,0,,,,,0,0,partsupp,part,217222,0,never_instantiated,0,,,,,0,0,,,868888,0,never_instantiated,0,,,,,0,0,lineitem,,868888,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21,1,1,1,156.33,,orders,73072502,0,never_instantiated,0,,,,,0,0,,nation,1,0,never_instantiated,0,,,,,0,0,lineitem,supplier,1000000,0,never_instantiated,0,,,,,0,0,,,7313671,0,never_instantiated,0,,,,,0,0,lineitem,,7313658,0,never_instantiated,0,,,,,0,0,,,7048027,0,never_instantiated,0,,,,,0,0,lineitem,,7048014,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Q22,1,1,1,18.15,,,1909668,0,never_instantiated,0,,,,,0,0,orders,,1909668,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01,1,2,1,30.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02,1,2,1,20.60,,region,1,0,never_instantiated,0,,,,,0,0,,nation,25,0,never_instantiated,0,,,,,0,0,,supplier,1000000,0,never_instantiated,0,,,,,0,0,partsupp,part,79591,0,never_instantiated,0,,,,,0,0,,,63825,0,never_instantiated,0,,,,,0,0,,,47107,0,never_instantiated,0,,,,,0,0,,region,1,0,never_instantiated,0,,,,,0,0,,nation,25,0,never_instantiated,0,,,,,0,0,supplier,partsupp,80000000,0,never_instantiated,0,,,,,0,0
Q03,1,2,1,47.78,,customer,3000188,0,never_instantiated,0,,,,,0,0,lineitem,orders,72874383,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04,1,2,1,32.48,,,5733776,0,never_instantiated,0,,,,,0,0,lineitem,,5733776,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q05,1,2,1,95.49,,region,1,0,never_instantiated,0,,,,,0,0,,supplier,1000000,0,never_instantiated,0,,,,,0,0,,nation,25,0,never_instantiated,0,,,,,0,0,,customer,14999999,0,never_instantiated,0,,,,,0,0,lineitem,orders,22760819,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06,1,2,1,8.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07,1,2,1,103.95,,nation,2,0,never_instantiated,0,,,,,0,0,,supplier,1000000,0,never_instantiated,0,,,,,0,0,,nation,2,0,never_instantiated,0,,,,,0,0,,customer,14999999,0,never_instantiated,0,,,,,0,0,lineitem,orders,150000000,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08,1,2,1,152.40,,region,1,0,never_instantiated,0,,,,,0,0,,nation,25,0,never_instantiated,0,,,,,0,0,,customer,14999999,0,never_instantiated,0,,,,,0,0,,part,134258,0,never_instantiated,0,,,,,0,0,,orders,45574624,0,never_instantiated,0,,,,,0,0,,nation,25,0,never_instantiated,0,,,,,0,0,lineitem,supplier,1000000,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Q09,1,2,1,236.29,,nation,25,0,never_instantiated,0,,,,,0,0,,supplier,1000000,0,never_instantiated,0,,,,,0,0,,part,1087982,0,never_instantiated,0,,,,,0,0,,orders,150000000,0,never_instantiated,0,,,,,0,0,lineitem,partsupp,80000000,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10,1,2,1,51.10,,nation,25,0,never_instantiated,0,,,,,0,0,,customer,14999999,0,never_instantiated,0,,,,,0,0,lineitem,orders,5730378,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11,1,2,1,15.93,,partsupp,80000000,0,never_instantiated,0,,,,,0,0,supplier,nation,1,0,never_instantiated,0,,,,,0,0,,partsupp,80000000,0,never_instantiated,0,,,,,0,0,supplier,nation,1,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12,1,2,1,29.98,lineitem,orders,150000000,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13,1,2,1,58.84,customer,orders,148451295,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14,1,2,1,30.72,lineitem,part,20000000,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15,1,2,1,12.24,,,1,0,never_instantiated,0,,,,,0,0,supplier,,1000000,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16,1,2,1,15.12,,supplier,479,0,never_instantiated,0,,,,,0,0,,partsupp,80000000,0,never_instantiated,0,,,,,0,0,part,,8,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17,1,2,1,112.70,part,lineitem,600037902,0,never_instantiated,0,,,,,0,0,,,600982,0,never_instantiated,0,,,,,0,0,lineitem,,20031,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18,1,2,1,178.46,,lineitem,6398,0,never_instantiated,0,,,,,0,0,,lineitem,600037902,0,never_instantiated,0,,,,,0,0,orders,customer,14999999,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19,1,2,1,41.82,lineitem,part,20000000,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20,1,2,1,33.28,,,592007,0,never_instantiated,0,,,,,0,0,supplier,nation,1,0,never_instantiated,0,,,,,0,0,partsupp,part,217222,0,never_instantiated,0,,,,,0,0,,,868888,0,never_instantiated,0,,,,,0,0,lineitem,,868888,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21,1,2,1,164.47,,nation,1,0,never_instantiated,0,,,,,0,0,,supplier,1000000,0,never_instantiated,0,,,,,0,0,lineitem,orders,73072502,0,never_instantiated,0,,,,,0,0,,,7313671,0,never_instantiated,0,,,,,0,0,lineitem,,7313658,0,never_instantiated,0,,,,,0,0,,,7048027,0,never_instantiated,0,,,,,0,0,lineitem,,7048014,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Q22,1,2,1,18.32,,,1909668,0,never_instantiated,0,,,,,0,0,orders,,1909668,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01,1,3,1,30.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02,1,3,1,27.50,,region,1,0,never_instantiated,0,,,,,0,0,,nation,25,0,never_instantiated,0,,,,,0,0,,part,79591,0,never_instantiated,0,,,,,0,0,partsupp,supplier,1000000,0,never_instantiated,0,,,,,0,0,,,63825,0,never_instantiated,0,,,,,0,0,,,47107,0,never_instantiated,0,,,,,0,0,,region,1,0,never_instantiated,0,,,,,0,0,,partsupp,80000000,0,never_instantiated,0,,,,,0,0,supplier,nation,25,0,never_instantiated,0,,,,,0,0
Q03,1,3,1,48.54,,customer,3000188,0,never_instantiated,0,,,,,0,0,lineitem,orders,72874383,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04,1,3,1,32.84,,,5733776,0,never_instantiated,0,,,,,0,0,lineitem,,5733776,0,never_instantiated,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
